id,userName,userUrl,version,score,title,text,url,updated
10339440151,TracieHill,https://itunes.apple.com/us/reviews/id1224795996,23.34.0,5,Turtle neck,Shipping was very fast thank you it’s beautiful will be buying more from this seller,https://itunes.apple.com/us/review?id=632064380&type=Purple%20Software,2023-09-06T02:58:59-07:00
10338742697,tcup4,https://itunes.apple.com/us/reviews/id905758826,23.34.0,5,MK Reversible Belt,"Item is as described. Quick delivery, easy transaction, and communication was rapid.",https://itunes.apple.com/us/review?id=632064380&type=Purple%20Software,2023-09-05T21:03:50-07:00
10338125370,Lynne OF,https://itunes.apple.com/us/reviews/id1167632385,23.34.0,5,Thanks,So cute!! Thanks,https://itunes.apple.com/us/review?id=632064380&type=Purple%20Software,2023-09-05T16:08:59-07:00
10337914703,kel shops again,https://itunes.apple.com/us/reviews/id126488791,23.34.0,5,Love Vinted,Vinted is the best online second hand clothes shop,https://itunes.apple.com/us/review?id=632064380&type=Purple%20Software,2023-09-05T14:26:47-07:00
10336003394,MarjoMetcalf,https://itunes.apple.com/us/reviews/id125691827,23.34.0,5,Haut Sezane,Parfait !,https://itunes.apple.com/us/review?id=632064380&type=Purple%20Software,2023-09-05T02:18:12-07:00
10334146896,kirbynuggies,https://itunes.apple.com/us/reviews/id1285998727,23.34.0,4,SHIPPING,I used to love this app so much because of the shipping price but now its 6+ $ and its so unfair for a item that costs less than that. PLEASE FIX THIS!,https://itunes.apple.com/us/review?id=632064380&type=Purple%20Software,2023-09-04T11:31:17-07:00
10327853645,1111111222222222222222222///,https://itunes.apple.com/us/reviews/id330305015,23.33.1,5,Sparkly sandals,Beautiful sandals and great communication with seller!,https://itunes.apple.com/us/review?id=632064380&type=Purple%20Software,2023-09-02T16:08:14-07:00
10320098529,Kirlyc,https://itunes.apple.com/us/reviews/id614798109,23.33.1,5,"Great itens! Shipping was fast, items were in pristine condition!",I am very happy with my new blouses! Loved it! They look brand new. Thank you!,https://itunes.apple.com/us/review?id=632064380&type=Purple%20Software,2023-08-31T11:23:50-07:00
10319496195,goivccc bbn cccf,https://itunes.apple.com/us/reviews/id1014571275,23.33.1,5,Omega,Good 👍,https://itunes.apple.com/us/review?id=632064380&type=Purple%20Software,2023-08-31T07:50:48-07:00
10318564821,Marsi8,https://itunes.apple.com/us/reviews/id431112254,23.33.1,5,Vestito leopardato,Molto gentile e il vestito perfetto! Grazie 🌷,https://itunes.apple.com/us/review?id=632064380&type=Purple%20Software,2023-08-31T02:28:27-07:00
