id,userName,userUrl,version,score,title,text,url,updated
11051043978,gee1945,https://itunes.apple.com/us/reviews/id39790617,6.107.3,5,Reply to my visit with Landmark,My visit was excellent..,https://itunes.apple.com/us/review?id=585027354&type=Purple%20Software,2024-03-16T07:35:17-07:00
11050904785,Sassy80&,https://itunes.apple.com/us/reviews/id885468817,6.107.3,5,Epcot driver,Rodney was fabulous and very personable and professional.   Great job,https://itunes.apple.com/us/review?id=585027354&type=Purple%20Software,2024-03-16T06:55:18-07:00
11050308332,Farbod Gh,https://itunes.apple.com/us/reviews/id1109835390,6.107.3,2,Share location on imsg,"So annoying error most of the times when sharing a location from google maps in imsg
"" unsupported link ___ google maps cant open this link """,https://itunes.apple.com/us/review?id=585027354&type=Purple%20Software,2024-03-16T03:39:21-07:00
11049770959,Liu Yu Hang,https://itunes.apple.com/us/reviews/id1565245964,6.107.3,1,Basura,Basura total,https://itunes.apple.com/us/review?id=585027354&type=Purple%20Software,2024-03-15T23:53:02-07:00
11049723846,bebetiffany,https://itunes.apple.com/us/reviews/id271530803,6.107.3,1,Awful,Never ever use this app.,https://itunes.apple.com/us/review?id=585027354&type=Purple%20Software,2024-03-15T23:31:23-07:00
11049606267,algahli,https://itunes.apple.com/us/reviews/id589556244,6.107.3,1,Not good سيئ جدا👎🏻,"التحديث الأخير لا يعمل سيئ جدا لا يتم التوصيل بالأختصار يفتح طرق آخرى .
The latest update does not work, very bad, it does not connect to the shortcut, it opens other methods.",https://itunes.apple.com/us/review?id=585027354&type=Purple%20Software,2024-03-15T22:36:39-07:00
11049605442,Sunshine Dawn Joy,https://itunes.apple.com/us/reviews/id720575347,6.107.3,5,Google maps road trip Mason W.V. To Cumberland Maryland,"Smooth sailing! Took us exactly where we needed to go! Thank you Google Maps, Kevin and Dawn B",https://itunes.apple.com/us/review?id=585027354&type=Purple%20Software,2024-03-15T22:36:15-07:00
11049432006,ndevid,https://itunes.apple.com/us/reviews/id1155133733,6.107.3,1,Cannot add multiple stops,"The new UI updates seems to have removed the option to add multiple stops, or made it too hard to find.",https://itunes.apple.com/us/review?id=585027354&type=Purple%20Software,2024-03-15T21:17:40-07:00
11049277100,yrwrgjkyfy,https://itunes.apple.com/us/reviews/id1339347691,6.107.3,5,I,We can go in a little later than later but we will,https://itunes.apple.com/us/review?id=585027354&type=Purple%20Software,2024-03-15T20:12:47-07:00
11049168531,cikvvkkvkcjjx,https://itunes.apple.com/us/reviews/id1634883703,6.107.3,5,A,A a,https://itunes.apple.com/us/review?id=585027354&type=Purple%20Software,2024-03-15T19:30:13-07:00
