id,userName,userUrl,version,score,title,text,url,updated
10958859550,34;drfr,https://itunes.apple.com/us/reviews/id1626844577,55.2.1,3,Chat de voz y 2 contra 2,"Estuviese mucho mejor si tuviera un chat de voz y modo 2 contra 2 ,saludos siiii",https://itunes.apple.com/us/review?id=543186831&type=Purple%20Software,2024-02-19T22:20:34-07:00
10958577193,F|_|¢k ¥[]|_|,https://itunes.apple.com/us/reviews/id1322116133,55.2.1,2,The game is schmedium,To an extent it’s a very accurate billiards game. I will say though when the algorithm doesn’t want you to win.. you will not win. No matter how straight forward the shot is. They just want you to spend money on chips,https://itunes.apple.com/us/review?id=543186831&type=Purple%20Software,2024-02-19T20:08:24-07:00
10958574281,Car 1962,https://itunes.apple.com/us/reviews/id1598687755,55.2.1,2,Emparejamientos,El emparejamiento es muy malo,https://itunes.apple.com/us/review?id=543186831&type=Purple%20Software,2024-02-19T20:07:06-07:00
10958522832,yo mamas house deez,https://itunes.apple.com/us/reviews/id1614659942,55.2.1,5,Very fun,I Love it!,https://itunes.apple.com/us/review?id=543186831&type=Purple%20Software,2024-02-19T19:44:32-07:00
10958444261,Matt Gifford,https://itunes.apple.com/us/reviews/id21901965,55.2.1,5,Good game,Good game,https://itunes.apple.com/us/review?id=543186831&type=Purple%20Software,2024-02-19T19:11:08-07:00
10958436808,bigdoug310,https://itunes.apple.com/us/reviews/id802735866,55.2.1,5,New Games,We should really look into adding straight eight to the game. If you need any help with rules I’d be glad to help.,https://itunes.apple.com/us/review?id=543186831&type=Purple%20Software,2024-02-19T19:08:03-07:00
10958115456,Mastirbaten,https://itunes.apple.com/us/reviews/id194692132,55.2.1,1,Game is trash SMD,There is no reason why you have the best cues and continuously scratch. Even with proper English and force shots more often than like result in scratch after running the table with the final 3 balls.,https://itunes.apple.com/us/review?id=543186831&type=Purple%20Software,2024-02-19T16:53:31-07:00
10957830389,SMUSH™️,https://itunes.apple.com/us/reviews/id784674863,55.2.1,4,Game Review,Great game good players game crashes way to much plz fix,https://itunes.apple.com/us/review?id=543186831&type=Purple%20Software,2024-02-19T14:46:14-07:00
10957537750,Jsuehehd d,https://itunes.apple.com/us/reviews/id1325103516,55.2.1,5,It’s to easy I’m to good at the game,It’s to easy I’m to good at game,https://itunes.apple.com/us/review?id=543186831&type=Purple%20Software,2024-02-19T12:42:43-07:00
10957399070,AM JUSTIN ERICKSON,https://itunes.apple.com/us/reviews/id1271603829,55.2.1,5,BEUTIFUL,I love this game because you can get the real feeling to it like if you do a wrong move and this can help you to understand better the rules in real life and help you with strategies and all so yeah chat download it,https://itunes.apple.com/us/review?id=543186831&type=Purple%20Software,2024-02-19T11:48:56-07:00
