id,userName,userUrl,version,score,title,text,url,updated
11067750049,OOOOOOAAAAAAHHHHHH,https://itunes.apple.com/us/reviews/id1489421130,12.78.0.32,1,Snap AI is disgusting,"Snap AI was introduced with an update, no one asked for that. It's permanently pinned unless you pay for premium. Inconveniencing people for a quick pay check is a disgusting business model. 
This has been mentioned to the company through reviews and emails and they refuse to do anything about this. Like many companies now, it's about money and not providing quality.",https://itunes.apple.com/us/review?id=447188370&type=Purple%20Software,2024-03-20T22:28:55-07:00
11067626398,BAAirsoft,https://itunes.apple.com/us/reviews/id1589321965,12.78.0.32,2,Gets worse with every update,Not having the ability to turn off everything related to quick add is atrocious. Your friends stories are with other random people's stories and no setting turns it off. Making users pay for the premium version just to get rid of the AI that no one asked for is absolutely criminal. Snapchat used to be amazing. Now it's another shameless money grab with features no one asked for. Bring back the old Snapchat,https://itunes.apple.com/us/review?id=447188370&type=Purple%20Software,2024-03-20T21:28:10-07:00
11067520212,Lil pimp😂,https://itunes.apple.com/us/reviews/id1637730918,12.78.0.32,5,My favorite app,I like this app a lot because it helps me text people,https://itunes.apple.com/us/review?id=447188370&type=Purple%20Software,2024-03-20T20:40:31-07:00
11067411350,Daggs2900,https://itunes.apple.com/us/reviews/id103401515,12.78.0.32,5,Snapchat Is so good,I get to talk to people I can share my i just love it,https://itunes.apple.com/us/review?id=447188370&type=Purple%20Software,2024-03-20T19:54:03-07:00
11067400204,Gdhjssokqbww,https://itunes.apple.com/us/reviews/id1566906877,12.78.0.32,1,Ads,Too many ads for “entertainment “ on Snapchat shouldn’t be ads every video I’ll watch on Snapchat.,https://itunes.apple.com/us/review?id=447188370&type=Purple%20Software,2024-03-20T19:49:02-07:00
11067369064,josiah price,https://itunes.apple.com/us/reviews/id24316716,12.78.0.32,1,Snapchat,this app is dumb.,https://itunes.apple.com/us/review?id=447188370&type=Purple%20Software,2024-03-20T19:35:25-07:00
11067349673,8&9This,https://itunes.apple.com/us/reviews/id1564547159,12.78.0.32,5,I love Snapchat,I can text my crush,https://itunes.apple.com/us/review?id=447188370&type=Purple%20Software,2024-03-20T19:27:05-07:00
11067297489,Open date reporter,https://itunes.apple.com/us/reviews/id1349590531,12.78.0.32,5,Hi!!,"This app is the best my life so many filters I love it I even meet my cousin even sisters and brothers I loved it I wouldn’t let kids under 11 use this app . There’s lots of inappropriate things, but this is really really good u should try it☺️☺️☺️",https://itunes.apple.com/us/review?id=447188370&type=Purple%20Software,2024-03-20T19:05:05-07:00
11067286988,Carolyn-Rosie,https://itunes.apple.com/us/reviews/id1608717312,12.78.0.32,4,It's funbut,I think it could use a couple tweaks but other than that it's a great app,https://itunes.apple.com/us/review?id=447188370&type=Purple%20Software,2024-03-20T19:00:47-07:00
11067211039,Gracieetayyy,https://itunes.apple.com/us/reviews/id905085668,12.78.0.32,5,Gracies review 🥰,"I love Snapchat so much I am on it all the time love it so much and I get to chat with my friends and family so I love Snapchat so much 
❤️💯!!",https://itunes.apple.com/us/review?id=447188370&type=Purple%20Software,2024-03-20T18:28:37-07:00
