id,userName,userUrl,version,score,title,text,url,updated
10930634129,Dabess25,https://itunes.apple.com/us/reviews/id1374912343,10.4.2,1,H Diaz g FC Z,I err yk,https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-12T05:14:49-07:00
10929410083,Nenenki,https://itunes.apple.com/us/reviews/id1254607759,10.4.2,1,Scam be careful,"Full off scam I’ve been sharing with many peoples going from 0.9 to 0.9
Full off spam be careful 
They just making you to advertise for free to share with many people’s very smart and spam",https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-11T20:22:46-07:00
10929153308,shirley reis,https://itunes.apple.com/us/reviews/id1353519968,10.4.2,1,Horrível,É horrível me bani todo dia quando eu crio uma conta e ele trava muito ele não é aprovado para crianças de menores e ele é horrível,https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-11T18:29:09-07:00
10929106075,Mia3721,https://itunes.apple.com/us/reviews/id771779752,10.4.2,1,Awful company,"They have games where you invite users to potentially win a prize, but they will lower the amount of points you get as it goes on to make sure you don’t win anything. Total scam.",https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-11T18:09:21-07:00
10929067618,Nflshuffleking3,https://itunes.apple.com/us/reviews/id307322744,10.4.2,5,TACOS🌮😋,I LUV TACOS❤️❤️❤️,https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-11T17:53:07-07:00
10928978709,Pabbojo,https://itunes.apple.com/us/reviews/id86672699,10.4.2,5,OMG… it’s a GOOD day,When the mail comes with my order!!! Present 🎁 💝 🎄,https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-11T17:14:07-07:00
10928446283,Give a refund,https://itunes.apple.com/us/reviews/id1623911728,10.4.2,3,Refund,I bought these nails for 2$ and 91$cents and I’m mistakenly bought it and I clicked refund and I still haven’t got my refund. I love the app until I got it. so please give me my refund. I deleted this app two times so I would like a refund before I give this app one star.,https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-11T13:18:58-07:00
10927683369,shybean19,https://itunes.apple.com/us/reviews/id1121826205,10.4.2,2,Scam,"I only give this app a second star for having cute and somewhat affordable products. DO NOT PLAY THE MINIGAMES they lead you to think your about to win some pretty cool prizes such as credit points for SHEIN and free products. I sent their link to multiple people for different games and when I was successful in sending the link to someone and they opened it, the link wouldn’t work for me for “suspicious activity” when I did what the app asked me too! Waste of time and money in my opinion.",https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-11T08:48:01-07:00
10927478995,PR1M25,https://itunes.apple.com/us/reviews/id1318339046,10.4.2,2,STARTING TO HATE SHEIN,"SHEIN WAS GOOD, but now it’s starting to get horrible. They take so much taxes out based on percentage! $100 they would take $10 which would become $110! And the points you collect can only be used 50% of them. It wasn’t like that before but now it’s horrible. I don’t even want to shop at SHEIN anymore.",https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-11T07:45:24-07:00
10926641367,Barbie deal,https://itunes.apple.com/us/reviews/id1600098768,10.4.2,5,The best online shopping Yet!,"I love this app in so many different ways, but the most interesting way is the fact that I can track my order to Exactly the place it should be. It arrives on time, and with my personal experience, it hasn’t been delivered late , or in bad condition not once. And another thing about the shipping, i love how it would tell you if your order will be delayed or not, because in most apps I have experienced, they never tell you this much information about when your item is going to arrive. So I’m that case , I highly recommend SHEIN if you want to know where your order is at all times.",https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-11T03:08:25-07:00
10926125466,hoangdson,https://itunes.apple.com/us/reviews/id1445347452,10.4.2,1,Quảng cáo ảo quá ảo,Ảnh quảng cáo có bán bàn phím nên mình tưởng nó có gian hàng bán nhưng không tải về tìm không hề có . Lừa dối người dùng . Thật sự ko nên tải vì sự lừa dối này quán chán làm ăn không minh bạch,https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-10T23:33:24-07:00
10925855800,SheWeeWee,https://itunes.apple.com/us/reviews/id447349952,10.4.2,2,missing products,"i’ve ordered from shein a number of times and i’m usually never disappointed the shipping takes a while tho.
 the app needs more cat breakaway collars……",https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-10T21:28:47-07:00
10925695568,GuymandydeQ72,https://itunes.apple.com/us/reviews/id1595639191,10.4.2,5,Great app,"Its amazing how well they can use kids for their sweatshops. Amazing app for cheap items, might set up a factory of underpaid kids and women for myself.",https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-10T20:16:12-07:00
10925630716,Dadadadsada,https://itunes.apple.com/us/reviews/id1500884733,10.4.2,1,I hate this app,I hate Shreck,https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-10T19:47:53-07:00
10925630509,Oyki22,https://itunes.apple.com/us/reviews/id621124217,10.4.2,1,Prize,Cheating  people they let’s you make invitations for people they no let me win all the time say for my friend ops wrong network,https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-10T19:47:47-07:00
10925582978,Que-es,https://itunes.apple.com/us/reviews/id298245194,10.4.2,1,Should have stayed away,"Terrible, I hate it. I’ve been having so much issue trying to get in contact with one of their representatives over a badly delivered package aka got delivered to a different city. I have to say I never had soo much issue with customer service. I think I’ll just stick to te-mu thank you very much. Give me back my money.",https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-10T19:27:22-07:00
10925109600,Katie 419,https://itunes.apple.com/us/reviews/id1224939113,10.4.2,1,This app just bad,Do Not Get This App!,https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-10T16:07:22-07:00
10925035418,hjgghjfbjfyjfjh,https://itunes.apple.com/us/reviews/id1278163039,10.4.2,3,It’s ok,It randomly ordered my cart. And the quality is kinda bad,https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-10T15:34:24-07:00
10924940784,mmg1727272818188182882727,https://itunes.apple.com/us/reviews/id1559113677,10.4.2,5,App súper dura,una app súper,https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-10T14:52:29-07:00
10924399316,Kcoc labss,https://itunes.apple.com/us/reviews/id1552206926,10.4.2,1,If I could put zero I would,I can’t even put in codes without a stupid thing popping up,https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-10T11:14:58-07:00
10924122578,Hostil0,https://itunes.apple.com/us/reviews/id150690185,10.4.2,3,Idk,Its okay...,https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-10T09:40:04-07:00
10922118611,RosieRoyalt,https://itunes.apple.com/us/reviews/id1401161934,10.4.2,1,MESSED UP APP IN DEC2023,Im sooo mad at the developers!!! You guys changed the way we can use points WHICH IS SOOO HARMFUL!!! You are making it soo hard to purchase the most wanted items & Its not needed the app was perfect before the changes that were made in December. This is such a harmful issue because i can not buy anything anymore & I dont get the FREE SHIPPING offer that shein would give me every Tuesday! These changes are sooo bad and really upsetting because the app is soo different that I cant manage using this new platform. WROST UPDATE ‼️,https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-09T21:39:47-07:00
10921863634,send me credits 😐,https://itunes.apple.com/us/reviews/id1594158695,10.4.2,1,ugh,i bought multiple things (twice) and the carts were worth $150-200 and i had multiple things missing from my package and i still haven’t gotten it and it’s been MONTHS. and it doesn’t let me get a refund since i don’t have the package but i never got it in the first place 😐.,https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-09T19:45:01-07:00
10921732307,P2rincess,https://itunes.apple.com/us/reviews/id1232254534,10.4.2,1,Scam,I had a large order! I never received and when I tried to check it they would say it was shipped by ups say they never gave it to them to ship.,https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-09T18:50:43-07:00
10921339732,Kalyn Davis,https://itunes.apple.com/us/reviews/id1273788416,10.4.2,5,I need my money back,I like the app but I placed a order like 2 months ago and it still hasn’t arrived and then it said I put the wrong address 2 months later and it charged me 30 cents,https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-09T16:07:31-07:00
10920666588,Tasha nick,https://itunes.apple.com/us/reviews/id1007615016,10.4.2,1,Scam,Scam,https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-09T11:21:57-07:00
10920641058,ssangyi,https://itunes.apple.com/us/reviews/id221970864,10.4.2,2,i’ve been sticking by you over tEMu,"i’m SO sick of the inability of shein to ship certain products with my order. there’s always some error. cannot ship 5-6 products with no explanation or reason. it’s cat toys. WHY can’t you ship CAT TOYS WITH MY ORDER?. and WHAT HAPPENED TO MY DISCOUNTS. SHEIN has no eye catching discounts on your order like they use to. i don’t even know why im still using it. the fun part of using shein was seeing the magic of your cart go down. which made me (knowingly so) buy more and more. now my order always comes to over $300 and i end up leaving my cart there for days or weeks. there’s hardly no joy anymore of anticipating my packages. i spend just as much as i can spend on ebay or amazon. die hard fan of shein, you’re disappointing me and starting to make your fans search elsewhere.",https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-09T11:11:57-07:00
10920606466,Liditzy,https://itunes.apple.com/us/reviews/id461876707,10.4.2,5,My toddler pants and t shirts were perfect,Good colors,https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-09T10:58:38-07:00
10919508586,BE CREATIVE ...,https://itunes.apple.com/us/reviews/id1243068006,10.4.2,1,DISAPPOINTED,I ORDERD A PACKAGE AND I WAITED PAST THE DUE DATE AND I LOOK TO SEE WHERE MY PACKAGE IS AND ITS DISPOSED AND GOT NO REFUND DO BETTTER I WANT MY SIX BUCKS BACK 😡😡😡😡,https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-09T05:06:54-07:00
10918700961,Mr.bigd1ck,https://itunes.apple.com/us/reviews/id927320346,10.4.2,1,Tons of fraud call and credit card charges . Chinese sneaky app be aware,Be aware chinese sneaky scammers app,https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-08T23:49:13-07:00
10918349647,GigiZana,https://itunes.apple.com/us/reviews/id1180973815,10.4.2,2,Magic draw,"I really enjoy buying clothes from SHEIN but, ever since you guys added magic draw my phone has been glitching from all the links I’ve been getting it’s getting out of hand. Please take out every game you guys did it’s not good thank you goodbye. <3",https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-08T21:07:17-07:00
10918347711,Popmeto,https://itunes.apple.com/us/reviews/id536275382,10.4.2,4,Magic draw and other games,I really love the clothes on shein but the new games on shein is annoying when people send link i think its time for the game to  go my storage is empty.,https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-08T21:06:22-07:00
10918345587,liatali,https://itunes.apple.com/us/reviews/id1213328863,10.4.2,1,Magic draw,I really liked shine but magic draw game need ps to go due to my storage,https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-08T21:05:24-07:00
10918344774,Walayah,https://itunes.apple.com/us/reviews/id1574346456,10.4.2,2,Magic draw needs to go,I love shien so much but the magic draw game and the other games need to go as soon as possible because my storage could not handle all that.,https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-08T21:05:01-07:00
10918343416,jaynotyourgirllmao,https://itunes.apple.com/us/reviews/id1467436720,10.4.2,1,Bffr,No cause I ordered and then 5-6 business days I haven’t got my package and it said it’s already delivered 🤨,https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-08T21:04:25-07:00
10918012615,Não consigo jogar Boo,https://itunes.apple.com/us/reviews/id1362558662,10.4.2,5,Please let me get the 500 Price,SHEIN I’m a kid please can you let me get in the 500 price please.🥺🥺🥺❔,https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-08T18:37:40-07:00
10917880550,duhvhfch&bygydyf,https://itunes.apple.com/us/reviews/id1523759750,10.4.2,1,Size,Mad bc they kept charging me and gave me the wrong size LIKE WHAT!!? Dont get this app hate it,https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-08T17:42:51-07:00
10917729267,anonymous9476473882,https://itunes.apple.com/us/reviews/id1317212018,10.4.2,4,Shipping,Shipping is not the best,https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-08T16:38:54-07:00
10917527381,ivan hello,https://itunes.apple.com/us/reviews/id1232272347,10.4.2,1,Stupid Chinese boys,For the 300 dollar thing I needed one more crystal I sent they gave me 4 after that they gave 0.9 so I needed 0.1 so when I sent another one they gave me 0.01 stupid ah app and scam this fake anyone who sees this delete the app now,https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-08T15:09:57-07:00
10917526665,Please support Chinese,https://itunes.apple.com/us/reviews/id671344034,10.4.2,1,Junk goods,Junk goods,https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-08T15:09:37-07:00
10917297988,Aussie444,https://itunes.apple.com/us/reviews/id601285770,10.4.2,5,SHEIN,"I love Shein everything i have ordered from them has been beautiful  when i first ordered from them i figured that probably the clothes would shrink but all the clothes i ordered the material is beautiful no shrinking at all I truly love this company and i have bought so many beautiful clothes from Shein, thank you so much to all of the people ❤️❤️❤️that work for them. 🦋🦋🦋",https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-08T13:29:29-07:00
10917065749,Jsvdndbgfn,https://itunes.apple.com/us/reviews/id1504653735,10.4.2,1,Pésima app,Hice un pedido valorado en 150 dólares y mis pedidos nunca llegaron y no recibí ningún reembolso y nadie pero nadie resolvió mi problema no  la recomiendo para nada,https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-08T11:52:30-07:00
10916966142,Nanny_pta,https://itunes.apple.com/us/reviews/id1455269966,10.4.2,1,Terrible delivery,"It's not worth buying from Shein anymore, high prices and terrible delivery time, they don't accept discount coupons",https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-08T11:12:45-07:00
10916858829,Forsaken_ChrisBrown,https://itunes.apple.com/us/reviews/id244166249,10.4.2,1,TEMU,I love temu Temu is the best,https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-08T10:31:19-07:00
10916734196,JacoPutt123,https://itunes.apple.com/us/reviews/id259050913,10.4.2,5,I had to personally quit the app and go to the App store to leave this review,"I love Shein. Everything about it, its basically an online general store at this point. Its the only foreign app that ships to my country….and the prices are amazing. 5/5 stars my go-to app when I’m bored at home….",https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-08T09:45:36-07:00
10916589877,lol TK__,https://itunes.apple.com/us/reviews/id1566205956,10.4.2,1,Don’t trust.,I would give a better review but I ordered some stuffs and I only got half of them and I didn’t get my money back even thought I didn’t get some of the items that I ordered. I hope I get the money back or get my stuffs.,https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-08T08:55:31-07:00
10916557511,Gldtn,https://itunes.apple.com/us/reviews/id108221896,10.4.2,1,Account deletion,Account deletion is a joke,https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-08T08:44:37-07:00
10916519450,spooky2023,https://itunes.apple.com/us/reviews/id1392311699,10.4.2,1,Never got my package 😡,Order at least $50 of items said it was delivered and it never came. Tried getting ahold of customer service but still haven’t heard anything .😡,https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-08T08:31:48-07:00
10916355393,@anyeltoovar2,https://itunes.apple.com/us/reviews/id1487515497,10.4.2,1,Opinión,"Aunque sus productos son buenos, no tiene canales de comunicación directos entre agentes y clientes, sus pedidos no llegan a tiempo y no avisan por atrasos, y no hay manera de saber nada por qué no se puede contactar con nadie! Mal servicio de Atención a Clientes",https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-08T07:38:53-07:00
10916293787,Huingtrbvytk,https://itunes.apple.com/us/reviews/id1285302430,10.4.2,1,Not received item,They said they mailed it and said it was delivered but it’s obvious they didn’t put it in the box,https://itunes.apple.com/us/review?id=878577184&type=Purple%20Software,2024-02-08T07:19:12-07:00
